ts_ms,open_interest
1693256400000,3194868.80000000
1693260000000,3185552.60000000
1693263600000,3208673.50000000
1693267200000,3200452.10000000
1693270800000,3204973.70000000
1693274400000,3202628.00000000
1693278000000,3209080.20000000
1693281600000,3190832.70000000
1693285200000,3193927.80000000
1693288800000,3167734.70000000
1693292400000,3152953.30000000
1693296000000,3188961.20000000
1693299600000,3231627.80000000
1693303200000,3268138.40000000
1693306800000,3345356.00000000
1693310400000,3384190.30000000
1693314000000,3398566.90000000
1693317600000,3402604.70000000
1693321200000,3146862.00000000
1693324800000,3139207.00000000
1693328400000,3191872.40000000
1693332000000,3219216.20000000
1693335600000,3237941.90000000
1693339200000,3209738.20000000
1693342800000,3208777.80000000
1693346400000,3217073.40000000
1693350000000,3236396.50000000
1693353600000,3217642.30000000
1693357200000,3222459.40000000
1693360800000,3220576.30000000
1693364400000,3237371.60000000
1693368000000,3232110.90000000
1693371600000,3265273.20000000
1693375200000,3329556.60000000
1693378800000,3299967.60000000
1693382400000,3270402.40000000
1693386000000,3239172.80000000
1693389600000,3242538.10000000
1693393200000,3221461.90000000
1693396800000,3154443.30000000
1693400400000,3217163.70000000
1693404000000,3168264.80000000
1693407600000,3269114.30000000
1693411200000,3287169.80000000
1693414800000,3308391.00000000
1693418400000,3258871.90000000
1693422000000,3290366.50000000
1693425600000,3284300.70000000
1693429200000,3304588.00000000
1693432800000,3302867.90000000
1693436400000,3301616.20000000
1693440000000,3318226.10000000
1693443600000,3350325.60000000
1693447200000,3301443.00000000
1693450800000,3294438.30000000
1693454400000,3315563.20000000
1693458000000,3301500.60000000
1693461600000,3319368.80000000
1693465200000,3315876.60000000
1693468800000,3349854.70000000
1693472400000,3319653.10000000
1693476000000,3295936.10000000
1693479600000,3316306.90000000
1693483200000,3287569.50000000
1693486800000,3271834.70000000
1693490400000,3277620.20000000
1693494000000,3268154.50000000
1693497600000,3229981.70000000
1693501200000,3290535.00000000
1693504800000,3423647.00000000
1693508400000,3423041.80000000
1693512000000,3464277.50000000
1693515600000,3453919.70000000
1693519200000,3349976.30000000
1693522800000,3339548.50000000
1693526400000,3336075.00000000
1693530000000,3360591.30000000
1693533600000,3365444.10000000
1693537200000,3377519.60000000
1693540800000,3358722.40000000
1693544400000,3394488.20000000
1693548000000,3393748.30000000
1693551600000,3374970.10000000
1693555200000,3375633.30000000
1693558800000,3368082.10000000
1693562400000,3363069.20000000
1693566000000,3382807.20000000
1693569600000,3395926.90000000
1693573200000,3426932.10000000
1693576800000,3395987.70000000
1693580400000,3396576.50000000
1693584000000,3493125.60000000
1693587600000,3514584.00000000
1693591200000,3389548.30000000
1693594800000,3370735.20000000
1693598400000,3346124.40000000
1693602000000,3300584.30000000
1693605600000,3339781.90000000
1693609200000,3332009.40000000
1693612800000,3292432.30000000
1693616400000,3301287.30000000
1693620000000,3322322.90000000
1693623600000,3325222.10000000
1693627200000,3297399.90000000
1693630800000,3289596.10000000
1693634400000,3306383.10000000
1693638000000,3280072.90000000
1693641600000,3287808.50000000
1693645200000,3287644.20000000
1693648800000,3304413.40000000
1693652400000,3295368.10000000
1693656000000,3321543.30000000
1693659600000,3334361.50000000
1693663200000,3306106.10000000
1693666800000,3280692.90000000
1693670400000,3308206.80000000
1693674000000,3259991.90000000
1693677600000,3256509.70000000
1693681200000,3281663.20000000
1693684800000,3293685.50000000
1693688400000,3301878.00000000
1693692000000,3306089.30000000
1693695600000,3329007.80000000
1693699200000,3379248.70000000
1693702800000,3370151.60000000
1693706400000,3364323.20000000
1693710000000,3374990.30000000
1693713600000,3390490.70000000
1693717200000,3394793.00000000
1693720800000,3390645.10000000
1693724400000,3378365.20000000
1693728000000,3372588.50000000
1693731600000,3376627.30000000
1693735200000,3382682.50000000
1693738800000,3415477.20000000
1693742400000,3443114.90000000
1693746000000,3440250.50000000
1693749600000,3478122.70000000
1693753200000,3494041.10000000
1693756800000,3462781.30000000
1693760400000,3449113.40000000
1693764000000,3452406.80000000
1693767600000,3442823.00000000
1693771200000,3498706.80000000
1693774800000,3678889.10000000
1693778400000,3656817.00000000
1693782000000,3655970.50000000
1693785600000,3642624.10000000
1693789200000,3583971.60000000
1693792800000,3596478.70000000
1693796400000,3603530.20000000
1693800000000,3654567.30000000
1693803600000,3664245.70000000
1693807200000,3674061.20000000
1693810800000,3727798.70000000
1693814400000,3784556.60000000
1693818000000,3833629.90000000
1693821600000,3821825.00000000
1693825200000,3813546.90000000
1693828800000,3815647.20000000
1693832400000,3847166.30000000
1693836000000,3860432.30000000
1693839600000,3846385.60000000
1693843200000,3851943.70000000
1693846800000,3860080.20000000
1693850400000,3789839.80000000
1693854000000,3789554.50000000
1693857600000,3763132.30000000
1693861200000,3763388.10000000
1693864800000,3768346.80000000
1693868400000,3799522.40000000
1693872000000,3790285.70000000
1693875600000,3761455.10000000
1693879200000,3777129.70000000
1693882800000,3793645.00000000
1693886400000,3791070.30000000
1693890000000,3804118.20000000
1693893600000,3803691.40000000
1693897200000,3823521.40000000
1693900800000,3811629.40000000
1693904400000,3804412.00000000
1693908000000,3819947.20000000
1693911600000,3849783.30000000
1693915200000,3861508.20000000
1693918800000,3821309.30000000
1693922400000,3913974.50000000
1693926000000,4072792.50000000
1693929600000,4116438.90000000
1693933200000,4168338.00000000
1693936800000,4127926.90000000
1693940400000,4100465.20000000
1693944000000,4089568.80000000
1693947600000,4084437.80000000
1693951200000,4082383.50000000
1693954800000,4106192.90000000
1693958400000,4135016.60000000
1693962000000,4138277.10000000
1693965600000,4141532.30000000
1693969200000,4179191.30000000
1693972800000,4180753.90000000
1693976400000,4196803.50000000
1693980000000,4248134.09999999
1693983600000,4273514.90000000
1693987200000,4318167.20000000
1693990800000,4406958.50000000
1693994400000,4390437.30000000
1693998000000,4409759.40000000
1694001600000,4434087.00000000
1694005200000,4445920.50000000
1694008800000,4414232.09999999
1694012400000,4456578.70000000
1694016000000,4459752.40000000
1694019600000,4444201.80000000
1694023200000,4179160.30000000
1694026800000,4112313.40000000
1694030400000,4134300.70000000
1694034000000,4153493.30000000
1694037600000,4146016.90000000
1694041200000,4151777.00000000
1694044800000,4142238.40000000
1694048400000,4154229.10000000
1694052000000,4148604.00000000
1694055600000,4162059.50000000
1694059200000,4141585.10000000
1694062800000,4122299.80000000
1694066400000,4138348.00000000
1694070000000,4203315.59999999
1694073600000,4222200.59999999
1694077200000,4219110.30000000
1694080800000,4219309.30000000
1694084400000,4201412.80000000
1694088000000,4235475.00000000
1694091600000,4270072.70000000
1694095200000,4279627.20000000
1694098800000,4308562.20000000
1694102400000,4249207.59999999
1694106000000,4179069.70000000
1694109600000,4198792.50000000
1694113200000,4158889.10000000
1694116800000,4169721.90000000
1694120400000,4159156.00000000
1694124000000,4060131.30000000
1694127600000,4139888.10000000
1694131200000,4130298.30000000
1694134800000,3986402.70000000
1694138400000,3973396.10000000
1694142000000,3942428.30000000
1694145600000,3992416.00000000
1694149200000,4002142.70000000
1694152800000,4010336.20000000
1694156400000,4006753.70000000
1694160000000,4001480.70000000
1694163600000,4165714.00000000
1694167200000,4150925.10000000
1694170800000,4072410.20000000
1694174400000,4067083.30000000
1694178000000,4105498.00000000
1694181600000,4174808.40000000
1694185200000,4248843.50000000
1694188800000,4218341.70000000
1694192400000,4187458.60000000
1694196000000,4154200.70000000
1694199600000,4159793.60000000
1694203200000,4080531.70000000
1694206800000,4082359.70000000
1694210400000,4076518.30000000
1694214000000,4052809.10000000
1694217600000,4065597.20000000
1694221200000,4030787.90000000
1694224800000,4053403.80000000
1694228400000,4053104.90000000
1694232000000,4057626.60000000
1694235600000,4050450.70000000
1694239200000,4079623.00000000
1694242800000,4082762.00000000
1694246400000,4108292.10000000
1694250000000,4149732.70000000
1694253600000,4160313.20000000
1694257200000,4188855.30000000
1694260800000,4165468.50000000
1694264400000,4172535.00000000
1694268000000,4196971.40000000
1694271600000,4193811.90000000
1694275200000,4198682.30000000
1694278800000,4196174.80000000
1694282400000,4236384.40000000
1694286000000,4273986.50000000
1694289600000,4274034.00000000
1694293200000,4287786.90000000
1694296800000,4281463.20000000
1694300400000,4260558.30000000
1694304000000,4272032.00000000
1694307600000,4207295.80000000
1694311200000,4320337.00000000
1694314800000,4317934.30000000
1694318400000,4367431.90000000
1694322000000,3483507.60000000
1694325600000,3533047.10000000
1694329200000,3619693.40000000
1694332800000,3621018.80000000
1694336400000,3718235.70000000
1694340000000,3755878.30000000
1694343600000,3723431.50000000
1694347200000,3757910.10000000
1694350800000,3759311.80000000
1694354400000,3845705.80000000
1694358000000,3833019.90000000
1694361600000,3724895.90000000
1694365200000,3658881.60000000
1694368800000,3771083.20000000
1694372400000,3798968.00000000
1694376000000,3788558.10000000
1694379600000,3701176.10000000
1694383200000,3743480.70000000
1694386800000,3785429.40000000
1694390400000,3780596.40000000
1694394000000,3682520.10000000
1694397600000,3735008.30000000
1694401200000,3711528.00000000
1694404800000,3738647.00000000
