ts_ms,open_interest
1682434800000,456155.21000000
1682438400000,455402.45000000
1682442000000,454805.55000000
1682445600000,448256.35000000
1682449200000,454601.86000000
1682452800000,456234.15000000
1682456400000,459637.56000000
1682460000000,458811.69000000
1682463600000,460056.28000000
1682467200000,462683.16000000
1682470800000,457230.78000000
1682474400000,457275.34000000
1682478000000,458207.40000000
1682481600000,459336.96000000
1682485200000,461550.68000000
1682488800000,461836.09000000
1682492400000,458525.84000000
1682496000000,459011.85000000
1682499600000,467120.99000000
1682503200000,465968.73000000
1682506800000,459973.23000000
1682510400000,464544.28000000
1682514000000,457791.69000000
1682517600000,455445.91000000
1682521200000,451664.89000000
1682524800000,452581.82000000
1682528400000,453505.25000000
1682532000000,453851.13000000
1682535600000,453774.29000000
1682539200000,417177.59000000
1682542800000,411699.32000000
1682546400000,410762.48000000
1682550000000,416594.64000000
1682553600000,420391.90000000
1682557200000,423126.18000000
1682560800000,423806.71000000
1682564400000,415837.29000000
1682568000000,417955.05000000
1682571600000,418331.52000000
1682575200000,421130.44000000
1682578800000,419176.36000000
1682582400000,422109.43000000
1682586000000,423646.39000000
1682589600000,423994.22000000
1682593200000,426510.12000000
1682596800000,429889.03000000
1682600400000,427323.55000000
1682604000000,429537.82000000
1682607600000,429974.89000000
1682611200000,423715.66000000
1682614800000,425774.80000000
1682618400000,425844.36000000
1682622000000,424478.07000000
1682625600000,428750.73000000
1682629200000,427077.30000000
1682632800000,430208.68000000
1682636400000,429781.35000000
1682640000000,429620.65000000
1682643600000,429862.95000000
1682647200000,431730.72000000
1682650800000,433117.99000000
1682654400000,433526.04000000
1682658000000,432521.04000000
1682661600000,433155.99000000
1682665200000,436164.14000000
1682668800000,436762.59000000
1682672400000,435488.83000000
1682676000000,437764.51000000
1682679600000,436412.83000000
1682683200000,434571.50000000
1682686800000,434546.86000000
1682690400000,435822.86000000
1682694000000,435214.90000000
1682697600000,434099.52000000
1682701200000,433619.47000000
1682704800000,437296.65000000
1682708400000,436786.99000000
1682712000000,433003.99000000
1682715600000,433049.47000000
1682719200000,433139.66000000
1682722800000,433273.10000000
1682726400000,431472.22000000
1682730000000,430032.83000000
1682733600000,429899.22000000
1682737200000,433272.36000000
1682740800000,433055.57000000
1682744400000,432451.53000000
1682748000000,433766.22000000
1682751600000,435123.53000000
1682755200000,435079.50000000
1682758800000,434294.50000000
1682762400000,434984.51000000
1682766000000,434780.87000000
1682769600000,434721.89000000
1682773200000,439486.19000000
1682776800000,438799.97000000
1682780400000,447305.20000000
1682784000000,447277.55000000
1682787600000,447833.93000000
1682791200000,440521.69000000
1682794800000,442671.12000000
1682798400000,440520.61000000
1682802000000,439332.82000000
1682805600000,437617.81000000
1682809200000,437782.05000000
1682812800000,438364.22000000
1682816400000,440058.09000000
1682820000000,440331.38000000
1682823600000,439248.27000000
1682827200000,439984.16000000
1682830800000,439215.39000000
1682834400000,439089.72000000
1682838000000,440729.56000000
1682841600000,441690.49000000
1682845200000,441735.44000000
1682848800000,443661.97000000
1682852400000,444326.70000000
1682856000000,444370.46000000
1682859600000,446396.74000000
1682863200000,446160.41000000
1682866800000,445126.88000000
1682870400000,447636.66000000
1682874000000,445375.38000000
1682877600000,445479.56000000
1682881200000,444628.60000000
1682884800000,441590.42000000
1682888400000,435060.25000000
1682892000000,435759.78000000
1682895600000,433956.83000000
1682899200000,432740.87000000
1682902800000,439464.54000000
1682906400000,435211.91000000
1682910000000,434495.53000000
1682913600000,436185.42000000
1682917200000,437401.83000000
1682920800000,440502.04000000
1682924400000,440698.71000000
1682928000000,437749.05000000
1682931600000,438977.56000000
1682935200000,440127.00000000
1682938800000,447503.55000000
1682942400000,447871.94000000
1682946000000,448928.47000000
1682949600000,449321.70000000
1682953200000,452270.42000000
1682956800000,447449.92000000
1682960400000,448074.45000000
1682964000000,449041.92000000
1682967600000,452376.84000000
1682971200000,444622.67000000
1682974800000,443051.00000000
1682978400000,442440.06000000
1682982000000,441995.70000000
1682985600000,443118.07000000
1682989200000,440210.08000000
1682992800000,438666.30000000
1682996400000,438662.62000000
1683000000000,438661.64000000
1683003600000,438734.18000000
1683007200000,438822.22000000
1683010800000,441177.79000000
1683014400000,440882.02000000
1683018000000,441254.19000000
1683021600000,444143.03000000
1683025200000,445853.02000000
1683028800000,446747.33000000
1683032400000,446619.09000000
1683036000000,444849.27000000
1683039600000,445121.69000000
1683043200000,449299.81000000
1683046800000,453281.48000000
1683050400000,454558.54000000
1683054000000,451520.62000000
1683057600000,449337.63000000
1683061200000,451039.45000000
1683064800000,454269.50000000
1683068400000,455106.24000000
1683072000000,456039.68000000
1683075600000,452892.14000000
1683079200000,452498.68000000
1683082800000,450341.39000000
1683086400000,449276.32000000
1683090000000,450971.47000000
1683093600000,451208.75000000
1683097200000,450795.18000000
1683100800000,451869.54000000
1683104400000,451511.82000000
1683108000000,453117.29000000
1683111600000,453924.08000000
1683115200000,450263.03000000
1683118800000,447253.23000000
1683122400000,449236.58000000
1683126000000,448719.42000000
1683129600000,445411.18000000
1683133200000,444254.28000000
1683136800000,436132.82000000
1683140400000,448236.08000000
1683144000000,450326.59000000
1683147600000,447990.94000000
1683151200000,447924.89000000
1683154800000,445348.48000000
1683158400000,447373.69000000
1683162000000,450250.53000000
1683165600000,451590.88000000
1683169200000,454146.32000000
1683172800000,454296.51000000
1683176400000,454764.84000000
1683180000000,455550.57000000
1683183600000,455687.60000000
1683187200000,457020.44000000
1683190800000,457549.75000000
1683194400000,459017.87000000
1683198000000,457790.94000000
1683201600000,460291.89000000
1683205200000,461873.95000000
1683208800000,452725.45000000
1683212400000,454241.53000000
1683216000000,454949.17000000
1683219600000,457831.57000000
1683223200000,461592.79000000
1683226800000,457030.75000000
1683230400000,454772.98000000
1683234000000,456305.25000000
1683237600000,454419.48000000
1683241200000,454150.15000000
1683244800000,451393.96000000
1683248400000,449537.90000000
1683252000000,449122.27000000
1683255600000,451927.77000000
1683259200000,455060.71000000
1683262800000,456461.65000000
1683266400000,457519.49000000
1683270000000,458287.82000000
1683273600000,455249.05000000
1683277200000,457361.75000000
1683280800000,463891.44000000
1683284400000,467351.22000000
1683288000000,469297.38000000
1683291600000,459693.15000000
1683295200000,472673.97000000
1683298800000,470861.84000000
1683302400000,476392.93000000
1683306000000,471792.74000000
1683309600000,476260.54000000
1683313200000,468176.19000000
1683316800000,470893.67000000
1683320400000,472291.11000000
1683324000000,469720.00000000
1683327600000,469966.62000000
1683331200000,473258.98000000
1683334800000,476238.32000000
1683338400000,477461.72000000
1683342000000,473698.59000000
1683345600000,470441.06000000
1683349200000,465015.35000000
1683352800000,463020.41000000
1683356400000,460916.64000000
1683360000000,457397.33000000
1683363600000,448147.17000000
1683367200000,444774.98000000
1683370800000,444726.83000000
1683374400000,446529.04000000
1683378000000,442153.92000000
1683381600000,445392.41000000
1683385200000,437103.08000000
1683388800000,439087.34000000
1683392400000,442852.17000000
1683396000000,441301.21000000
1683399600000,449512.85000000
1683403200000,449343.83000000
1683406800000,447879.76000000
1683410400000,441473.72000000
1683414000000,441696.31000000
1683417600000,440858.71000000
1683421200000,440029.69000000
1683424800000,442568.47000000
1683428400000,439813.71000000
1683432000000,438719.81000000
1683435600000,441007.12000000
1683439200000,444104.07000000
1683442800000,443604.44000000
1683446400000,442645.86000000
1683450000000,442689.05000000
1683453600000,443490.38000000
1683457200000,446869.43000000
1683460800000,446527.51000000
1683464400000,446403.20000000
1683468000000,446911.13000000
1683471600000,443217.51000000
1683475200000,447479.93000000
1683478800000,449006.17000000
1683482400000,448393.41000000
1683486000000,450437.71000000
1683489600000,449704.73000000
1683493200000,450465.66000000
1683496800000,448719.46000000
1683500400000,450704.94000000
1683504000000,443997.29000000
1683507600000,444012.43000000
1683511200000,432410.37000000
1683514800000,433863.21000000
1683518400000,434796.16000000
1683522000000,434051.03000000
1683525600000,433584.86000000
1683529200000,434526.07000000
1683532800000,428899.05000000
1683536400000,431395.84000000
1683540000000,436353.03000000
1683543600000,439255.54000000
1683547200000,442590.53000000
1683550800000,443681.49000000
1683554400000,445504.85000000
1683558000000,442058.83000000
1683561600000,448053.35000000
1683565200000,449662.30000000
1683568800000,441215.98000000
1683572400000,439600.89000000
1683576000000,436697.57000000
1683579600000,436572.65000000
1683583200000,435568.25000000
1683586800000,434779.99000000
1683590400000,435451.81000000
1683594000000,437576.81000000
1683597600000,436559.33000000
1683601200000,433455.20000000
1683604800000,436715.82000000
1683608400000,434633.96000000
1683612000000,435709.14000000
1683615600000,438365.95000000
1683619200000,442046.29000000
1683622800000,442250.73000000
1683626400000,443523.93000000
1683630000000,447026.13000000
1683633600000,446392.56000000
1683637200000,444387.46000000
1683640800000,447410.30000000
1683644400000,445046.64000000
1683648000000,452699.35000000
1683651600000,444542.50000000
1683655200000,442446.74000000
1683658800000,441035.05000000
1683662400000,442296.63000000
1683666000000,441530.71000000
1683669600000,441516.79000000
1683673200000,444194.13000000
1683676800000,443075.93000000
1683680400000,445315.29000000
1683684000000,444921.00000000
1683687600000,443917.18000000
1683691200000,445364.95000000
1683694800000,445964.73000000
1683698400000,447290.54000000
1683702000000,446711.99000000
1683705600000,447079.45000000
1683709200000,449361.71000000
1683712800000,451957.14000000
1683716400000,453084.21000000
1683720000000,448531.20000000
1683723600000,445552.13000000
1683727200000,456021.30000000
1683730800000,457155.94000000
1683734400000,458506.66000000
1683738000000,460563.93000000
1683741600000,435156.73000000
1683745200000,435929.43000000
1683748800000,435917.10000000
1683752400000,433389.85000000
1683756000000,435835.56000000
1683759600000,439508.00000000
1683763200000,440658.73000000
1683766800000,445170.62000000
1683770400000,443418.30000000
1683774000000,447399.56000000
1683777600000,447292.74000000
1683781200000,446874.40000000
1683784800000,446784.49000000
1683788400000,448372.52000000
1683792000000,448551.02000000
1683795600000,451656.53000000
1683799200000,452805.16000000
1683802800000,454359.03000000
1683806400000,454447.04000000
1683810000000,452732.39000000
1683813600000,450033.34000000
1683817200000,457691.17000000
1683820800000,462496.51000000
1683824400000,462167.85000000
1683828000000,449383.74000000
1683831600000,450795.04000000
1683835200000,453668.96000000
1683838800000,453401.97000000
1683842400000,452249.75000000
1683846000000,455078.17000000
1683849600000,457020.22000000
1683853200000,453782.36000000
1683856800000,456335.69000000
1683860400000,446968.44000000
1683864000000,453078.54000000
1683867600000,444624.67000000
1683871200000,439979.83000000
1683874800000,440080.76000000
1683878400000,436086.69000000
1683882000000,435872.92000000
1683885600000,434263.44000000
1683889200000,439400.97000000
1683892800000,444092.27000000
1683896400000,444200.75000000
1683900000000,448561.50000000
1683903600000,443063.79000000
1683907200000,446925.47000000
1683910800000,446684.74000000
1683914400000,448305.01000000
1683918000000,447778.34000000
1683921600000,439470.81000000
1683925200000,438714.65000000
1683928800000,435309.29000000
1683932400000,439355.59000000
1683936000000,440213.00000000
1683939600000,445149.68000000
1683943200000,444712.59000000
1683946800000,443300.69000000
1683950400000,442495.63000000
1683954000000,442318.75000000
1683957600000,443622.40000000
1683961200000,444955.04000000
1683964800000,446445.22000000
1683968400000,449600.38000000
1683972000000,450081.31000000
1683975600000,450509.47000000
1683979200000,449731.76000000
1683982800000,447794.55000000
1683986400000,449170.06000000
1683990000000,437905.83000000
1683993600000,453613.69000000
1683997200000,453981.34000000
1684000800000,454783.90000000
1684004400000,450546.03000000
1684008000000,449796.80000000
1684011600000,450832.51000000
1684015200000,450111.38000000
1684018800000,449484.66000000
1684022400000,450578.35000000
1684026000000,450255.53000000
1684029600000,450961.02000000
1684033200000,450475.68000000
1684036800000,451023.09000000
1684040400000,451665.21000000
1684044000000,452214.35000000
1684047600000,452555.90000000
1684051200000,453357.67000000
1684054800000,454050.08000000
1684058400000,454345.77000000
1684062000000,454401.22000000
1684065600000,456448.10000000
1684069200000,453802.19000000
1684072800000,452951.71000000
1684076400000,453943.16000000
1684080000000,455988.18000000
1684083600000,454699.62000000
1684087200000,452381.70000000
1684090800000,446086.22000000
1684094400000,447611.42000000
1684098000000,448386.24000000
1684101600000,449674.53000000
1684105200000,450329.97000000
1684108800000,451047.41000000
1684112400000,449284.75000000
1684116000000,449099.33000000
1684119600000,458652.76000000
1684123200000,465465.16000000
1684126800000,465727.39000000
1684130400000,462218.16000000
1684134000000,459896.59000000
1684137600000,463569.58000000
1684141200000,461006.71000000
1684144800000,460604.37000000
1684148400000,460624.32000000
1684152000000,458815.25000000
1684155600000,458636.61000000
1684159200000,462228.59000000
