ts_ms,open_interest
1763704800000,62916.66200000
1763708400000,63194.96000000
1763712000000,62206.86900000
1763715600000,62181.20400000
1763719200000,61313.00700000
1763722800000,61829.35100000
1763726400000,61318.71800000
1763730000000,61338.33300000
1763733600000,61521.32900000
1763737200000,62295.70200000
1763740800000,61608.32500000
1763744400000,62119.61600000
1763748000000,61934.68100000
1763751600000,61085.17300000
1763755200000,60835.02800000
1763758800000,60152.11500000
1763762400000,60211.91100000
1763766000000,60107.63100000
1763769600000,60275.99900000
1763773200000,60260.70700000
1763776800000,60524.47800000
1763780400000,60523.15500000
1763784000000,59985.53500000
1763787600000,60046.62800000
1763791200000,60103.36700000
1763794800000,60257.54200000
1763798400000,60306.41500000
1763802000000,60349.85500000
1763805600000,60895.13500000
1763809200000,60573.89200000
1763812800000,60819.27200000
1763816400000,60874.00500000
1763820000000,60701.88700000
1763823600000,60363.17200000
1763827200000,60007.46300000
1763830800000,60170.18100000
1763834400000,60216.00900000
1763838000000,60086.02400000
1763841600000,60089.27100000
1763845200000,59844.16400000
1763848800000,59790.58600000
1763852400000,59860.74800000
1763856000000,59839.71500000
1763859600000,60576.59500000
1763863200000,60779.34900000
1763866800000,60514.32000000
1763870400000,60650.83200000
1763874000000,60964.15500000
1763877600000,60753.51300000
1763881200000,60594.55400000
1763884800000,59994.69200000
1763888400000,59974.05400000
1763892000000,60104.14600000
1763895600000,60238.40200000
1763899200000,60450.16100000
1763902800000,60666.75900000
1763906400000,61850.51800000
1763910000000,62089.30800000
1763913600000,62110.28000000
1763917200000,61670.25400000
1763920800000,61708.44600000
1763924400000,61646.77500000
1763928000000,61910.07900000
1763931600000,62198.75300000
1763935200000,61932.13000000
1763938800000,61719.54100000
1763942400000,60810.86200000
1763946000000,60167.44500000
1763949600000,60701.29200000
1763953200000,60631.01500000
1763956800000,60570.28900000
1763960400000,61074.54500000
1763964000000,60817.74100000
1763967600000,60919.19900000
1763971200000,60619.85400000
1763974800000,60400.16000000
1763978400000,60863.34500000
1763982000000,60813.28900000
1763985600000,60717.92900000
1763989200000,60681.22100000
1763992800000,60838.31400000
1763996400000,61009.95200000
1764000000000,61096.05900000
1764003600000,59989.60700000
1764007200000,60303.07500000
1764010800000,60252.26600000
1764014400000,60106.75500000
1764018000000,59929.74500000
1764021600000,59861.84500000
1764025200000,59837.45300000
1764028800000,59830.37200000
1764032400000,59147.66700000
1764036000000,59279.32000000
1764039600000,58932.12200000
1764043200000,58878.61500000
1764046800000,58697.80500000
1764050400000,58874.50800000
1764054000000,59014.74200000
1764057600000,58720.05200000
1764061200000,58392.33000000
1764064800000,58966.12200000
1764068400000,58853.87500000
1764072000000,58737.52400000
1764075600000,58177.77900000
1764079200000,57993.00900000
1764082800000,59967.37000000
1764086400000,59229.17300000
1764090000000,58249.85400000
1764093600000,57635.20900000
1764097200000,56867.81000000
1764100800000,55785.85900000
1764104400000,55408.28800000
1764108000000,55677.52600000
1764111600000,55480.39000000
1764115200000,55633.84400000
1764118800000,56153.08500000
1764122400000,56115.84100000
1764126000000,56219.07700000
1764129600000,57651.21900000
1764133200000,57710.79500000
1764136800000,57377.59100000
1764140400000,57566.30300000
1764144000000,57735.37300000
1764147600000,57661.34300000
1764151200000,57973.58800000
1764154800000,58061.85600000
1764158400000,58082.76600000
1764162000000,58383.42500000
1764165600000,58194.54600000
1764169200000,57715.36200000
1764172800000,57836.02300000
1764176400000,57811.61400000
1764180000000,55691.60900000
1764183600000,55698.40800000
1764187200000,55909.81300000
1764190800000,55784.93200000
1764194400000,55659.54500000
1764198000000,55814.27400000
1764201600000,56007.13900000
1764205200000,56366.42000000
1764208800000,56164.48600000
1764212400000,56635.22700000
1764216000000,57421.77500000
1764219600000,57485.83600000
1764223200000,57567.32700000
1764226800000,57884.81600000
1764230400000,57817.64200000
1764234000000,57983.15700000
1764237600000,58120.18300000
1764241200000,58463.28000000
1764244800000,58722.82800000
1764248400000,58469.64100000
1764252000000,57527.83400000
1764255600000,57949.53500000
1764259200000,58138.55500000
1764262800000,57383.17000000
1764266400000,57626.64400000
1764270000000,57738.97800000
1764273600000,57582.61800000
1764277200000,57529.63800000
1764280800000,57512.86500000
1764284400000,57331.17500000
1764288000000,57298.21200000
1764291600000,57216.02600000
1764295200000,57105.94600000
1764298800000,56940.30700000
1764302400000,57052.74300000
1764306000000,56970.60700000
1764309600000,57278.56700000
1764313200000,57319.00800000
1764316800000,56313.65700000
1764320400000,56450.73500000
